@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-V-R11,8,5,7,4,3,6,2,9,1,10,12'

@attribute alcohol numeric
@attribute density numeric
@attribute chlorides numeric
@attribute totalsulfur numeric
@attribute residualsugar numeric
@attribute citricacid numeric
@attribute freesulfur numeric
@attribute volacid numeric
@attribute pH numeric
@attribute fixedacid numeric
@attribute sulphates numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
9.1,0.9998,0.042,129.5,14.75,0.4,44.5,0.22,3.36,7.3,0.41,7
9.2,0.998,0.074,107,14.45,0.32,29,0.26,2.96,7.1,0.42,6
10.7,0.9939,0.02,93,6.9,0.37,14,0.25,3,7.4,0.48,7
10.8,0.992,0.027,93,1.5,0.37,37,0.18,3.3,6.8,0.45,6
10.8,0.9922,0.028,75,1.5,0.37,26,0.17,3.3,7,0.46,7
10.7,0.9917,0.049,97,1.5,0.16,10,0.33,3.48,5,0.44,6
10.7,0.9917,0.049,97,1.5,0.16,10,0.33,3.48,5,0.44,6
8.8,0.9986,0.037,171,15.55,0.46,61,0.26,2.94,7,0.35,6
9,0.9955,0.046,192,7.8,0.38,35,0.3,3.1,6.4,0.37,5
12.5,0.9907,0.03,125,1.5,0.46,30,0.23,3.23,8,0.47,6
10.5,0.9922,0.042,59,1,0.41,14,0.28,2.96,9.2,0.25,6
9.7,0.9958,0.064,188,6.7,0.39,28,0.27,3.29,7.3,0.3,5
11.3,0.993,0.04,155,1.6,0.36,32,0.32,3.23,7.6,0.52,6
10.8,0.9926,0.033,59,1.2,0.45,11,0.24,2.74,9.7,0.47,6
10.6,0.9959,0.045,169,7.1,0.42,41,0.28,3.17,8,0.43,5
11.7,0.9906,0.034,93,1,0.36,17,0.37,3.04,8.2,0.32,8
11.1,0.993,0.027,126,7.1,0.44,25,0.26,3.02,7.2,0.34,8
11.7,0.9906,0.034,93,1,0.36,17,0.37,3.04,8.2,0.32,8
11,0.992,0.044,217.5,1.15,0.33,15.5,0.23,3.33,6.4,0.44,6
10,0.994,0.038,115,1.2,0.39,21,0.28,3.16,7.6,0.67,6
12.3,0.9908,0.033,102,2.3,0.39,29,0.23,3.26,7.2,0.54,7
12.7,0.9902,0.023,87,3.4,0.37,19,0.32,3.14,6.8,0.53,6
12.3,0.9908,0.033,102,2.3,0.39,29,0.23,3.26,7.2,0.54,7
10.5,0.9943,0.039,110,6.5,0.38,20,0.18,3.1,6.9,0.42,5
12.5,0.9921,0.047,109,1.2,0.53,25,0.26,3.23,9.4,0.28,6
12.4,0.9911,0.033,96,1.15,0.42,18,0.33,3.2,8.3,0.32,3
8.7,0.9986,0.043,238,13,0.3,46,0.29,3.06,7.3,0.41,6
12.4,0.992,0.03,114,4.5,0.37,40,0.41,3.17,7.9,0.54,7
11,0.9943,0.037,131,5.2,0.3,29,0.39,3.38,7.7,0.44,6
10.1,0.9937,0.043,155,1.3,0.31,47,0.26,3.42,7.7,0.5,6
10.5,0.993,0.036,195,1.7,0.31,46,0.32,3.03,7.8,0.48,5
10.9,0.9928,0.024,116,3.6,0.39,35,0.24,3.17,7.3,0.51,5
13.5,0.9896,0.041,128,2.7,0.37,35,0.44,3.07,7.1,0.43,7
9.7,0.998,0.042,164,2.2,0.48,28,0.25,3.19,10.3,0.59,5
9.2,0.9954,0.041,178,1.8,0.28,44,0.14,3.45,7.9,0.43,6
10.6,0.9938,0.036,187,2.1,0.42,33,0.18,3.4,7.4,0.41,7
13.5,0.9896,0.041,128,2.7,0.37,35,0.44,3.07,7.1,0.43,7
10.1,0.9944,0.037,131,5.1,0.22,23,0.26,3.29,6.4,0.32,5
9.4,0.9999,0.042,233,17.55,0.72,62,0.66,2.92,8,0.68,4
10.8,0.9925,0.045,73,1.1,0.31,20,0.18,3.32,7.2,0.4,7
10.4,0.9981,0.051,195,10.7,0.44,46,0.57,3.15,8.4,0.51,5
9.3,0.9927,0.047,152,1.1,0.32,24,0.245,3.12,5.6,0.42,6
12.2,0.9911,0.037,165,1.8,0.41,52,0.25,3.29,7.3,0.39,7
9.2,0.9936,0.138,150,1,0.73,58,0.16,3.08,7,0.3,5
10.3,0.9959,0.057,104,1.8,0.34,29,0.22,3.81,6.4,0.57,6
9.4,0.9946,0.046,157,1.4,0.65,28,0.18,3.33,7.3,0.62,6
10.2,0.9948,0.036,223,6.7,0.27,88,0.17,3.28,6.4,0.35,6
9,0.9955,0.034,212,6.8,0.16,65,0.29,3.08,6.9,0.39,6
9.2,0.9952,0.037,236,7.1,0.3,63,0.23,3.06,6.4,0.34,6
9.4,0.9946,0.05,156,1.5,0.68,31,0.19,3.32,7.3,0.64,6
9.4,0.9946,0.046,157,1.4,0.65,28,0.18,3.33,7.3,0.62,6
9.5,0.9944,0.039,223,1.45,0.46,77.5,0.29,2.92,9.6,0.46,6
11.1,0.9963,0.059,174,7.4,0.34,36,0.31,3.46,6.9,0.62,7
12.3,0.991,0.028,116,4.2,0.34,36,0.28,2.99,7.5,0.41,8
8.6,1.0003,0.044,163,14.6,0.42,45,0.22,3.21,8,0.69,7
9.4,0.9966,0.04,145,10.5,0.29,21,0.31,3.04,7.6,0.35,5
8.6,1.0003,0.044,163,14.6,0.42,45,0.22,3.21,8,0.69,7
10.9,0.9938,0.037,126,1.1,0.47,23,0.5,3.21,8.1,0.42,5
9.4,0.9965,0.169,162,5.3,0.31,32,0.39,3.2,7,0.48,5
10.9,0.9938,0.037,126,1.1,0.47,23,0.5,3.21,8.1,0.42,5
9.2,0.9938,0.064,132,1.5,0.27,20,0.22,3.22,6.2,0.46,6
8.6,1.0003,0.044,163,14.6,0.42,45,0.22,3.21,8,0.69,7
9.4,0.9966,0.04,145,10.5,0.29,21,0.31,3.04,7.6,0.35,5
10.8,0.9942,0.083,133,4.9,0.36,10,0.24,3.33,7,0.37,6
12.5,0.991,0.026,140,1.7,0.41,29,0.16,3.02,7.8,0.78,6
12.1,0.9911,0.028,168,1.8,0.34,26,0.27,2.99,7.7,0.48,7
12.7,0.9927,0.026,151,8.8,0.36,50,0.45,3.07,8,0.25,8
12.1,0.9911,0.028,168,1.8,0.34,26,0.27,2.99,7.7,0.48,7
11.4,0.9912,0.05,147,1.8,0.29,40,0.16,3.06,6.6,0.44,7
12.9,0.9907,0.032,110,1.6,0.4,35,0.21,3.02,8.3,0.6,7
12.8,0.9902,0.029,109,1.4,0.33,29,0.32,3.15,7.2,0.51,7
11.2,0.992,0.034,78,1.6,0.3,15,0.16,3.38,6.6,0.44,6
9.7,0.9966,0.038,191,9.2,0.32,54,0.23,3.04,7.5,0.56,6
10.3,0.993,0.037,79,1.1,0.3,14,0.17,3.5,6.2,0.54,6
11.6,0.993,0.03,102,4.3,0.22,10,0.39,3,6.9,0.87,4
9.7,0.9966,0.038,191,9.2,0.32,54,0.23,3.04,7.5,0.56,6
10.9,0.9942,0.045,131,5,0.33,30,0.38,3.32,7.5,0.44,6
12.4,0.9925,0.04,163,5.2,0.39,45,0.34,3.3,7.3,0.47,6
11.5,0.9928,0.042,166,4.75,0.28,45,0.23,2.96,7.8,0.4,5
10.2,0.995,0.045,159,5.9,0.38,52,0.245,2.93,9,0.35,6
11.4,0.9939,0.032,176,7.7,0.4,51,0.2,3.22,6.9,0.27,5
9.6,0.9958,0.067,212,6.4,0.42,39,0.19,3.3,7.4,0.33,6
10.3,0.9952,0.035,163,8.1,0.36,60,0.2,3.05,8.2,0.3,6
9.3,1,0.038,228,17.35,0.71,61,0.59,2.95,8,0.75,5
10.7,0.9948,0.05,114,1.8,0.45,17,0.14,3.33,7.9,0.49,7
12.8,0.99,0.047,105,1.8,0.4,34,0.24,3.13,6.8,0.49,8
9.5,0.9958,0.049,142,1.5,0.59,23,0.14,2.98,9.7,0.62,5
10.3,0.9949,0.049,94,1.6,0.55,14,0.17,3.02,9.4,0.61,6
10.7,0.9927,0.039,116,3.75,0.22,37,0.23,3.23,6.3,0.5,6
11.2,0.9932,0.026,190,2,0.26,40,0.255,3.04,7.9,0.39,6
8.8,0.9955,0.038,234,6.6,0.53,59,0.25,3.03,6.4,0.42,5
12.8,0.9914,0.044,114,1.5,0.42,6,0.19,3.04,7.6,0.74,6
13.2,0.991,0.028,114,4.6,0.37,17,0.43,3.23,7.3,0.43,6
10.8,0.9927,0.043,182,1.3,0.35,21,0.16,3.25,6.9,0.62,6
9.2,0.9958,0.042,168,6.8,0.72,33,0.22,3.12,6.5,0.36,6
9.5,0.994,0.052,104,2.1,0.43,20,0.19,2.85,8.4,0.46,5
9.5,0.994,0.05,108,2.2,0.41,24,0.21,2.85,8.3,0.45,5
12.4,0.9918,0.048,107,1.2,0.5,26,0.24,3.21,9,0.34,6
10.1,0.995,0.047,189,2.3,0.24,60,0.21,3.65,5.7,0.72,6
10,0.9956,0.048,251,6.4,0.3,40,0.18,3.29,6.7,0.52,5
10.8,0.9959,0.033,116,12.15,0.27,37,0.58,2.99,8.4,0.39,6
10,0.9922,0.04,121,0.8,0.32,50,0.16,3.27,7.2,0.33,6
10.4,0.9931,0.029,151,2,0.23,13,0.54,3.04,7.6,0.33,5
10.8,0.9959,0.033,116,12.15,0.27,37,0.58,2.99,8.4,0.39,6
12.2,0.9908,0.041,165,1.9,0.37,51,0.23,3.26,7.3,0.4,8
12.2,0.9928,0.039,163,6.2,0.39,46,0.46,3.21,7,0.35,7
11.2,0.9941,0.042,161,7,0.36,38,0.29,3.26,7.8,0.37,8
10.4,0.9924,0.042,61,0.9,0.39,15,0.35,2.96,9.2,0.28,4
12.8,0.9917,0.034,122,3.9,0.39,22,0.57,3.29,8,0.67,7
12.7,0.9906,0.027,130,3.9,0.33,40,0.37,3.28,6.5,0.39,7
10,0.9956,0.048,251,6.4,0.3,40,0.18,3.29,6.7,0.52,5
9,0.9955,0.04,179,1.8,0.3,43,0.13,3.43,7.8,0.41,5
8.9,1,0.05,191,15.4,0.41,55,0.22,3.32,7.3,0.59,6
9.3,0.9953,0.039,167,6.5,0.4,43,0.29,3.15,6.3,0.44,6
10.8,0.9922,0.04,132,1.4,0.32,31,0.19,3.36,6.5,0.54,7
10.5,0.9951,0.044,158,5.7,0.26,56,0.12,3.52,6.2,0.37,6
11.3,0.9906,0.04,115,1.4,0.33,42,0.25,3.19,6.4,0.48,7
9.5,0.994,0.051,96,1.4,0.16,15,0.32,3.22,6.9,0.38,4
11.4,0.9907,0.04,143,1.1,0.41,38,0.19,2.92,7.6,0.42,5
10.1,0.9927,0.046,140,1.2,0.28,35,0.13,3.33,6.7,0.33,7
8.9,1,0.05,191,15.4,0.41,55,0.22,3.32,7.3,0.59,6
9.3,0.9984,0.168,185,14.15,0.47,42,0.64,2.9,7.4,0.49,5
10.4,0.9941,0.052,116,1.9,0.39,23,0.28,3.25,7.6,0.4,6
9.5,0.998,0.044,181,8.2,0.56,37,0.22,2.87,10.7,0.68,6
9.5,0.998,0.044,181,8.2,0.56,37,0.22,2.87,10.7,0.68,6
12.4,0.9902,0.032,121,2.7,0.34,24,0.23,3.14,6.9,0.38,7
11.2,0.9911,0.032,130,1.7,0.32,30,0.3,3.28,6.2,0.41,7
11.4,0.9929,0.047,134,1.7,0.41,6,0.27,3.15,6.9,0.69,6
11.4,0.993,0.05,136,1.7,0.41,10,0.28,3.16,6.9,0.71,6
10.4,0.992,0.054,126,0.9,0.2,5,0.46,3.1,6.9,0.42,6
12,0.9932,0.044,152,8.5,0.32,36,0.38,3.38,6.9,0.35,7
9.1,0.994,0.045,92,3.1,0.16,28,0.56,3.12,6.6,0.35,6
10.5,0.9923,0.046,102,1.3,0.56,25,0.36,3.24,7.1,0.33,6
11.4,0.993,0.047,133,1.6,0.4,5,0.23,3.23,6.8,0.7,6
11.3,0.9918,0.044,143,1.2,0.29,12,0.18,3.2,7.3,0.48,7
10,0.9926,0.037,180,0.9,0.4,73,0.19,3.06,8.1,0.34,6
10.1,0.995,0.034,123,7.4,0.26,33,0.19,3.49,5.9,0.42,6
12.2,0.99,0.029,81,1.4,0.47,23,0.16,3.26,6.2,0.42,6
11.3,0.9918,0.044,143,1.2,0.29,12,0.18,3.2,7.3,0.48,7
11.5,0.9928,0.035,83,5.7,0.34,32,0.2,3.19,7,0.46,6
8.9,0.9986,0.05,200,13.1,0.36,35,0.25,3.04,7.3,0.46,7
10.9,0.9937,0.044,128,2.2,0.31,29,0.26,3.34,7.1,0.64,8
11.6,0.9938,0.043,73,6.6,0.48,11,0.31,2.9,9,0.38,5
10.2,0.9942,0.069,117,6.9,0.24,9,0.39,3.15,6.3,0.35,4
10.5,0.9944,0.034,90,6.8,0.36,12,0.22,3.01,8.2,0.38,8
11.4,0.993,0.033,78,3.6,0.28,16,0.19,2.91,7.1,0.78,6
8.9,0.9986,0.05,200,13.1,0.36,35,0.25,3.04,7.3,0.46,7
10.6,0.9932,0.04,118,1.2,0.34,29,0.2,3.14,7.9,0.41,6
11.5,0.9928,0.035,83,5.7,0.34,32,0.2,3.19,7,0.46,6
12.3,0.9925,0.035,155,4.1,0.33,26,0.3,3.25,6.9,0.79,8
9.3,0.9932,0.038,63,0.8,0.02,22,0.415,3.36,5.9,0.36,5
10,0.9934,0.045,128,1.3,0.26,16,0.23,3.36,6.6,0.6,6
11,1.0001,0.057,366.5,15.55,0.35,35.5,0.55,3.04,8.6,0.63,3
10.8,0.9916,0.04,103,1.6,0.74,27,0.14,3.07,7.6,0.4,7
10,0.9977,0.056,225,10,0.74,36,0.25,3.06,9.8,0.43,4
10.8,0.9944,0.042,124,7.1,0.49,22,0.29,3.14,8.1,0.41,6
12.7,0.99,0.045,140,1,0.49,34,0.22,3.05,7.2,0.34,6
11.3,0.9917,0.042,156,1.1,0.49,35,0.25,3.13,7.4,0.55,5
10.4,0.9923,0.033,81,1.1,0.49,28,0.18,3,8.2,0.68,7
9.6,0.9928,0.051,87,1.5,0.49,18,0.22,3.3,6.1,0.46,5
10.1,0.9923,0.048,119,1,0.24,8,0.39,3,7,0.31,4
9.6,0.9928,0.051,87,1.5,0.49,18,0.22,3.3,6.1,0.46,5
9.2,1.0005,0.051,243,17.85,0.74,51,0.56,2.99,8.5,0.7,5
9.5,0.9951,0.05,210,7.1,0.49,67,0.23,3.23,6.3,0.34,5
10.5,0.9928,0.057,117,1.4,0.24,17,0.31,3.16,7.2,0.35,5
12.2,0.9914,0.04,125,5.3,0.49,34,0.18,3.24,7,0.4,6
11.3,0.9955,0.033,158,13,0.49,37,0.43,3.14,7.8,0.35,6
12.2,0.9924,0.044,130,4.45,0.74,33,0.2,3.25,8.3,0.42,6
12.2,0.9911,0.063,92,1.2,0.49,35,0.27,3.38,6.3,0.42,6
11.2,0.9917,0.055,150,1.2,0.49,18,0.16,3.23,7.4,0.47,6
11.5,0.9932,0.036,172,6.6,0.49,49,0.19,3.2,6.9,0.27,6
11.3,0.9955,0.033,158,13,0.49,37,0.43,3.14,7.8,0.35,6
9.3,0.9929,0.048,138,1.1,0.49,11,0.4,3.01,7.2,0.42,5
11.3,0.9955,0.033,158,13,0.49,37,0.43,3.14,7.8,0.35,6
9.2,0.9968,0.069,150,11.2,0.74,44,0.34,3,6.9,0.81,5
12.2,0.9924,0.044,130,4.45,0.74,33,0.2,3.25,8.3,0.42,6
12.2,0.991,0.044,144,2.7,0.74,42,0.22,3.31,7.1,0.41,6
10.6,0.9946,0.048,133,4.5,0.49,27,0.11,3.24,7.9,0.42,6
12.4,0.9928,0.05,128,3.6,0.74,29,0.17,3.28,8.5,0.4,6
11.2,0.9917,0.055,150,1.2,0.49,18,0.16,3.23,7.4,0.47,6
10.2,0.9931,0.044,163,0.8,0.74,19,0.2,3.46,7,0.53,5
11.5,0.9932,0.036,172,6.6,0.49,49,0.19,3.2,6.9,0.27,6
12.3,0.9903,0.03,96,3,0.49,30,0.25,3.13,7.1,0.39,7
9.8,0.9928,0.046,60,1.6,0.24,15,0.24,3.19,6.5,0.39,5
9.3,0.9929,0.048,138,1.1,0.49,11,0.4,3.01,7.2,0.42,5
11.8,0.9958,0.034,156,14,0.49,37,0.52,3.14,7.6,0.38,7
11.4,0.9911,0.052,48,1.35,0.49,6,0.21,3.15,7.8,0.28,5
10.8,0.9938,0.038,128,5.9,0.49,39,0.2,3.21,7,0.48,6
9.5,0.9942,0.057,85,3.6,0.24,13,0.25,2.99,6.9,0.48,4
10.2,0.9945,0.05,148,1.3,0.49,18,0.08,3.46,7.2,0.44,6
10.7,0.9962,0.028,184,8.7,0.49,40,0.85,3.22,7.1,0.36,5
10.8,0.992,0.04,104,1.2,0.24,10,0.51,3.05,7.6,0.29,6
11.5,0.9927,0.044,159,4.6,0.24,39,0.22,2.99,7.9,0.28,6
10.7,0.9948,0.056,124,2,0.49,20,0.16,3.32,7.7,0.49,6
10.2,0.9945,0.05,148,1.3,0.49,18,0.08,3.46,7.2,0.44,6
10.1,0.9942,0.048,124,1.7,0.24,26,0.25,3.37,6.6,0.6,6
10.4,0.9952,0.046,187,2.4,0.49,57,0.16,3.62,6.7,0.81,6
9.5,0.9942,0.057,85,3.6,0.24,13,0.25,2.99,6.9,0.48,4
9.5,0.9972,0.044,224,13.3,0.74,68,0.26,3.18,6.5,0.54,6
10.3,0.9918,0.03,117,1.1,0.49,28,0.185,3.55,5.6,0.45,6
12.3,0.9936,0.033,180,9,0.49,39,0.34,3.13,8,0.38,8
12.3,0.9938,0.03,197,9.6,0.49,45,0.29,3.13,7.6,0.38,7
12.1,0.99,0.044,126,1.2,0.49,35,0.27,3.13,6.8,0.48,7
12.5,0.9914,0.041,86,1.8,0.49,23,0.27,3.16,7.7,0.42,6
13,0.9904,0.043,155,2.1,0.24,14,0.51,3.22,6.7,0.6,6
11,0.994,0.03,132,9.3,0.49,26,0.19,2.99,7.4,0.32,7
10.1,0.9938,0.04,169,1.7,0.49,34,0.2,3.05,8.3,0.37,5
9.2,0.9933,0.034,121,1.2,0.24,17,0.3,3.13,6.6,0.36,5
12.6,0.9909,0.039,124,4.6,0.24,24,0.36,3.27,6.8,0.34,7
12.2,0.9942,0.045,126,12.8,0.74,24,0.17,3.26,7,0.38,8
9.8,0.9945,0.041,130,1.5,0.49,39,0.18,3.04,9.2,0.49,7
10,0.996,0.044,160,7.5,0.74,59,0.26,3.22,7.8,0.64,6
9.8,0.9991,0.06,170,14.5,0.49,50,0.21,3.55,6.8,0.44,6
10,0.9942,0.061,145,1.8,0.49,10,0.18,3.23,8,0.48,5
11.2,0.9934,0.042,126,3.2,0.74,15,0.23,3.02,8.8,0.51,6
11,0.9939,0.034,134,9.4,0.49,29,0.22,2.99,7.3,0.32,7
11.2,0.9937,0.031,161,9.9,0.49,48,0.22,3.01,7.3,0.28,6
11,0.994,0.03,132,9.3,0.49,26,0.19,2.99,7.4,0.32,7
10.5,0.9926,0.039,136,1.3,0.49,34,0.155,3.14,7.3,0.77,6
10.6,0.9951,0.037,154,9.6,0.49,53,0.22,3.02,8.2,0.33,6
10.6,0.9952,0.038,163,9.3,0.49,52,0.24,3.02,8.2,0.33,6
12,0.9935,0.035,95,7.8,0.49,22,0.23,3.04,8.4,0.34,6
10.1,0.9938,0.04,169,1.7,0.49,34,0.2,3.05,8.3,0.37,5
9.2,0.9933,0.034,121,1.2,0.24,17,0.3,3.13,6.6,0.36,5
11,0.9927,0.041,164,1.4,0.49,15,0.21,3.25,6.9,0.63,5
8.7,0.9997,0.042,158,18.15,0.49,41,0.21,3.28,6.6,0.39,6
11.1,0.992,0.037,156,1.1,0.49,33,0.27,3.15,14.2,0.54,6
8.7,0.9981,0.037,156,12.5,0.74,47,0.27,3.04,7.2,0.44,5
11.2,0.9943,0.037,174,8.1,0.49,26,0.3,3.1,8.1,0.3,7
11.1,0.9941,0.049,209,7.7,0.49,61,0.23,3.14,7.5,0.3,7
10.8,0.9936,0.028,107,5,0.49,32,0.26,3.24,7.3,0.54,6
9.9,0.9926,0.028,24,1,0.49,6,0.13,2.91,8.9,0.32,5
10,0.9936,0.04,148,1,0.49,32,0.28,3.13,8.1,0.41,6
9,0.9996,0.044,176,15.6,0.74,44,0.18,3.38,7.1,0.67,6
10.6,0.9924,0.037,104,1.3,0.49,27,0.16,3.23,7.2,0.57,6
9.9,0.9926,0.028,24,1,0.49,6,0.13,2.91,8.9,0.32,5
9.9,0.9945,0.034,156,4.7,0.49,35,0.29,3.13,6.7,0.45,6
12.8,0.9903,0.025,102,1.8,0.24,32,0.36,3.34,7.1,0.59,6
10.3,0.9932,0.031,122,1.5,0.49,17,0.15,3.03,8.5,0.4,6
10.6,0.9953,0.051,157,5.2,0.49,36,0.18,3.18,7.9,0.48,6
8.7,0.9936,0.122,129,1.2,0.99,45,0.19,3.09,6.6,0.31,6
11,0.9962,0.057,156,7.6,0.49,25,0.3,3.43,6.9,0.63,7
9.6,0.9967,0.036,182,10,0.49,45,0.23,3.08,7.6,0.58,6
10.6,0.9953,0.051,157,5.2,0.49,36,0.18,3.18,7.9,0.48,6
10.5,0.992,0.036,56,1,0.49,14,0.35,2.96,8.8,0.33,4
12.8,0.991,0.033,156,1.8,0.74,33,0.3,3.29,7.8,0.52,6
10.1,0.9958,0.059,112,2,0.49,10,0.28,3.15,9.1,0.46,5
12.8,0.991,0.033,156,1.8,0.74,33,0.3,3.29,7.8,0.52,6
10.1,0.9958,0.059,112,2,0.49,10,0.28,3.15,9.1,0.46,5
10.1,0.9938,0.044,117,3.5,0.49,29,0.19,3.14,8.5,0.51,6
9.2,0.9996,0.046,158,18.05,0.49,36,0.18,3.06,7.6,0.41,5
9.7,0.9974,0.055,188,8.2,0.49,49,0.3,3.52,7.4,0.58,6
9.9,0.9945,0.038,157,5,0.74,35,0.3,3.21,6.7,0.46,5
9.7,0.9974,0.055,188,8.2,0.49,49,0.3,3.52,7.4,0.58,6
10.3,0.9957,0.063,168,7,0.49,50,0.22,3.54,6.9,0.5,6
10.3,0.9931,0.045,116,3.1,0.49,21,0.26,3.16,7.8,0.35,5
10.5,0.9953,0.053,182,2.4,0.74,61,0.17,3.63,6.8,0.76,6
9.8,0.9931,0.05,74,1.4,0.49,20,0.27,3.32,6.2,0.44,6
10.6,0.9946,0.05,128,1.8,0.49,17,0.64,3.31,7.1,0.58,4
10.1,0.9978,0.046,168,11.9,0.74,54,0.18,3.58,6.4,0.68,5
9,0.9989,0.062,191,13.4,0.49,50,0.31,3.22,7.6,0.53,4
9.5,1.0004,0.046,119,15.4,0.49,13,0.31,3.18,9.8,0.45,5
10.1,0.9978,0.046,168,11.9,0.74,54,0.18,3.58,6.4,0.68,5
9.2,0.9956,0.045,209,7.8,0.74,52,0.25,3.21,6.4,0.42,6
9.2,0.9956,0.045,209,7.8,0.74,52,0.25,3.21,6.4,0.42,6
8.7,0.9982,0.039,165,13.5,0.74,46,0.3,3.02,7.3,0.4,5
11.2,0.9926,0.036,122,1.5,0.74,27,0.27,3.35,7,0.48,6
12.3,0.991,0.028,165,1.2,0.74,30,0.14,3.08,7.9,0.82,6
10.4,0.9945,0.042,161,6.4,0.49,49,0.12,3.34,6.4,0.44,6
10.7,0.9916,0.047,111,1.2,0.74,25,0.21,3.13,6.8,0.41,6
10.5,0.9953,0.043,63,7.3,0.49,9,0.16,3.13,8.6,0.59,6
9.4,0.9938,0.047,136,3.8,0.49,37,0.29,2.95,7,0.4,6
9.2,0.9956,0.046,206,7.3,0.49,53,0.27,3.24,6.4,0.43,6
11.4,0.9914,0.167,94,1.6,0.49,20,0.33,3.11,6.7,0.5,6
9.4,0.9938,0.047,136,3.8,0.49,37,0.29,2.95,7,0.4,6
10.7,0.996,0.046,223,8,0.49,55,0.34,3.08,8.2,0.52,6
9.5,0.9942,0.048,137,2.8,0.01,39,0.41,3.24,6.7,0.35,5
12.5,0.9906,0.031,109,1.7,0.49,44,0.32,3.07,7.5,0.46,6
9.5,0.9935,0.04,118,4.9,0.49,44,0.19,3.34,5.8,0.38,7
10,0.9968,0.048,212,11.8,0.49,46,0.2,3.09,8.1,0.46,7
12.5,0.9906,0.031,109,1.7,0.49,44,0.32,3.07,7.5,0.46,6
10.1,0.9941,0.04,100,5.2,0.49,19,0.26,3.12,8.2,0.34,6
11.3,0.9919,0.027,87,3.2,0.49,28,0.26,3.03,7.8,0.32,7
10.6,0.9928,0.035,120,1.5,0.49,42,0.14,3.26,8,0.4,7
10.8,0.9958,0.035,131,11.7,0.49,40,0.29,3.14,8,0.34,5
9,0.9957,0.045,206,7.3,0.49,61,0.34,3.09,6.9,0.4,6
9.2,0.9937,0.065,143,1.6,0.49,17,0.2,3.22,6.2,0.52,6
8.5,0.9982,0.045,243,13.3,0.49,53,0.37,3.14,6.4,0.48,6
9.4,0.9956,0.05,131,1.6,0.49,17,0.32,3.13,8.9,0.34,5
8.7,0.9957,0.045,169,7.7,0.49,16,0.44,3.11,6.5,0.37,6
9.4,0.9954,0.053,118,5.9,0.49,22,0.14,3.36,7,0.36,6
10.5,0.993,0.039,131,1,0.49,46,0.17,3.09,9,0.51,7
9.7,0.9954,0.037,161,6.4,0.49,37,0.26,3.38,6.4,0.53,6
10.2,0.9987,0.048,195,10.4,0.49,52,0.22,3.31,9,0.44,6
9.4,0.9956,0.05,131,1.6,0.49,17,0.32,3.13,8.9,0.34,5
11.5,0.9928,0.057,108,3.5,0.49,14,0.2,3.19,8.2,0.35,6
9.6,0.9951,0.047,98,7.7,0.24,21,0.15,2.94,7.8,0.31,6
11.5,0.9928,0.057,108,3.5,0.49,14,0.2,3.19,8.2,0.35,6
12.2,0.9926,0.041,111,6.5,0.49,28,0.28,3.41,7.1,0.58,8
11,0.9938,0.037,110,6.7,0.49,15,0.19,3.2,7.4,0.38,7
9.2,1.0001,0.048,228,16.8,0.49,50,0.25,3.03,8.3,0.52,6
10,0.9952,0.043,149,7,0.49,29,0.49,3.21,7.8,0.33,5
9.7,0.9934,0.042,160,1.2,0.49,43,0.12,3.13,8.1,0.48,6
9.2,0.9988,0.239,220,13,0.49,42,0.47,2.96,7.6,0.51,5
10.1,0.9948,0.054,151,7.5,0.49,42,0.22,3.27,6.4,0.52,6
10.2,0.9971,0.049,144,12.3,0.49,50,0.3,3.09,8.1,0.57,7
10.5,0.9962,0.048,149,9.4,0.49,50,0.24,3.17,7.5,0.59,7
9.4,0.9965,0.058,166,1.6,0.49,39,0.26,3.65,6.9,0.52,4
12.8,0.9912,0.044,131,3.95,0.49,27,0.31,3.08,7.6,0.67,7
9,0.9978,0.076,209,12.8,0.74,48,0.42,3.12,6.4,0.58,6
10.9,0.9928,0.044,118,1,0.49,29,0.29,3.24,8.2,0.36,4
8.8,1.0103,0.053,176,31.6,0.28,35,0.33,3.15,7.9,0.38,6
9,0.9956,0.052,184,7.4,0.49,19,0.46,3.11,6.6,0.38,5
10.2,0.9936,0.046,142,1.3,0.49,27,0.28,3.09,7.8,0.59,5
11.3,0.9966,0.06,162,7.8,0.49,34,0.4,3.26,7.8,0.58,6
8.8,0.9964,0.05,220,7.7,0.49,52,0.31,3.12,6.6,0.45,5
9.3,0.996,0.049,217,7.7,0.49,53,0.325,3.16,6.6,0.4,5
10.8,0.9914,0.047,114,1.4,0.49,30,0.21,2.92,6.7,0.42,7
8.8,1.0103,0.053,176,31.6,0.28,35,0.33,3.15,7.9,0.38,6
11.5,0.9911,0.036,114,1,0.37,48,0.13,3.41,6.5,0.51,8
10.8,0.9938,0.04,84,1,0.56,8,0.445,3.25,7.8,0.43,5
9.8,0.9963,0.046,160,6.7,0.18,33,0.24,3.2,7.8,0.56,6
11.4,0.9936,0.028,87,6.5,0.3,27,0.35,3.4,7,0.42,7
9.3,0.9951,0.137,163,5.3,0.31,35,0.27,3.2,6.6,0.38,5
10.3,0.9955,0.046,188,8.9,0.29,82,0.22,3.3,6.8,0.44,6
